Identificacao_do_veiculo,Codigo_evento,Data_de_Inicio_do_protesto,Cidade,Local,Base_social,Base_social_2,Alvo_protesto,Ocupação/Atividade,Objetivo_1,Objetivo_2,Ambito_do_Protesto,Capilaridade,Unidade_Capilaridade,N_Part,Data_termino_do_protesto,Org,Org_2,Org_3,Tipo_Protesto,Confronto_entre_manifestantes,Depredacao,Presenca_policia,Repressao_policial,Detidos,Feridos,Mortos
20120524FSPC03_1,20120523NMEN01,2012-05-23,São Paulo,Sao_Paulo,Não Mencionada,,Outros Grupos da Sociedade,,Protestar_contra_greve_dos_metroviarios,protestar_contra_kassab_e_alckmin,Municipal,1,Capitais,99,2012-05-23,,,,Bloqueio de Estradas/Piquete,NM,Sim,Sim,Sim,Sim,Sim,NM
20120524FSPC05_1,20120523OCUP01,2012-05-23,São Paulo,Sao-Paulo,Trabalhadores,,Gov. Estadual,Comércio e Serviço,Protestar_contra_condicoes_de_trabalho,,Local,1,Capitais,99,2012-05-23,,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20120525FSPA13_1,20120524BSHT01,2012-05-24,São Paulo,Largo_sao_francisco,Estudante,Trabalhadores,Reitoria/Direção de Escola,Educação,Protestar_por_investigacao_de_repressao_na_usp_durante_a_ditadura,,Local,1,Capitais,200,2012-05-24,Fórum de Esquerda,Levante Popular da Juventude,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120525FSPB04_1,20120515OCUP01,2012-05-15,Curitiba,Volvo,Trabalhadores,,Patronato,Indústria,Reajuste_salarial,,Local,1,Capitais,99,2012-05-21,,,,Greve de Empresa,NM,NM,NM,NM,NM,NM,NM
20120525FSPB05_1,20120524OCUP01,2012-05-24,São Paulo,Vila_madalena,Trabalhadores,,Patronato,Comércio e Serviço,Protestar_contra_trabalho_degradante,,Local,1,Capitais,99,2012-05-24,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
20120525FSPC08_1,20120523OCUP01,2012-05-23,São Paulo,Sao_Paulo,Trabalhadores,,Gov. Estadual,Comércio e Serviço,Protestar_contra_condicoes_de_trabalho,,Local,1,Capitais,99,2012-05-23,,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20120526FSPC04_1,20120323BSHT01,2012-03-23,Guarulhos,reitoria_unifesp,Estudante,Trabalhadores,Reitoria/Direção de Escola,Educação,Protestar_contra_a_falta_de_estrutura,,Local,1,Instituição,99,,,,,Ocupação de Órgão Público,NM,NM,NM,NM,NM,NM,NM
20120526FSPC04_1,20120323BSHT01,2012-03-23,Guarulhos,unifesp,Estudante,Trabalhadores,Reitoria/Direção de Escola,Educação,Protestar_contra_a_falta_de_estrutura,,Local,1,Instituição,99,,,,,Paralisação,NM,NM,NM,NM,NM,NM,NM
20120526FSPC04_2,20120517OCUP01,2012-05-17,BR,BR,Trabalhadores,,Gov. Federal,Diversificado,Protestar_por_plano_de_carreira,melhoria_na_estrutura_educacional,Nacional,5,Estados,99,,Conlutas,,,Greve de Categoria,NM,NM,NM,NM,NM,NM,NM
20120527FSPA15_1,20120526IDEN01,2012-05-26,São Paulo,Rua_Augusta,Mulheres,,Outros Grupos da Sociedade,,Marcha_das_vadias,Protestar_contra_violencia,Local,1,Capitais,500,,,,,Passeata/Marcha/Ato,NM,NM,NM,NM,NM,NM,NM
